834258-1-37801;37801;NULL;APLICACIÓN DE CONOCIMIENTOS DE LAS CIENCIAS NATURALES DE ACUERDO CON SITUACIONES DEL CONTEXTO PRODUCTIVO Y SOCIAL.;NULL;0;NULL;NULL
834258-1-37802;37802;NULL;DESARROLLAR PROCESOS DE COMUNICACIÓN EFICACES Y EFECTIVOS, TENIENDO EN CUENTA SITUACIONES  DE ORDEN SOCIAL, PERSONAL Y PRODUCTIVO.;NULL;0;NULL;NULL
834258-1-38558;38558;NULL;Ejercer derechos fundamentales del trabajo en el marco de la constitución política y los convenios internacionales.;NULL;0;NULL;NULL
834258-1-38560;38560;NULL;Razonar cuantitativamente frente a situaciones susceptibles de ser abordadas de manera matemática en contextos laborales, sociales y personales.;NULL;0;NULL;NULL
834258-1-38561;38561;NULL;Gestionar procesos propios de la cultura emprendedora y empresarial de acuerdo con el perfil personal y los requerimientos de los contextos productivo y social.;NULL;0;NULL;NULL
834258-1-38648;38648;NULL;SOLDAR LÁMINAS METÁLICAS SEGÚN TÉCNICA DE ARCO MANUAL ELÉCTRODO REVESTIDO Y NORMATIVA.;NULL;0;NULL;NULL
834258-1-38650;38650;NULL;SOLDAR LÁMINAS METÁLICAS SEGÚN TÉCNICA DE ALAMBRE SÓLIDO Y NORMATIVA.;NULL;0;NULL;NULL
834258-1-39295;39295;NULL;Manejar soldadura de eléctrodo tungsteno de acuerdo con procedimiento técnico y normativa;NULL;0;NULL;NULL
224312-1-2;2;NULL;RESULTADOS DE APRENDIZAJE ETAPA PRACTICA;NULL;0;NULL;NULL
224312-1-36180;36180;NULL;Enrique Low Murtra-Interactuar en el contexto productivo y social de acuerdo con principios  éticos para la construcción de una cultura de paz.;NULL;0;NULL;NULL
224312-1-36182;36182;NULL;Resultado de Aprendizaje de la Inducción.;NULL;0;NULL;NULL
224312-1-37371;37371;NULL;Utilizar herramientas informáticas de acuerdo con las necesidades de manejo de información;NULL;0;NULL;NULL
224312-1-37714;37714;NULL;INTERACTUAR EN LENGUA INGLESA DE FORMA ORAL Y ESCRITA DENTRO DE CONTEXTOS SOCIALES Y LABORALES SEGÚN LOS CRITERIOS ESTABLECIDOS POR EL MARCO COMÚN EUROPEO DE REFERENCIA PARA LAS LENGUAS.;NULL;0;NULL;NULL
224312-1-37799;37799;NULL;APLICAR PRÁCTICAS  DE PROTECCIÓN AMBIENTAL, SEGURIDAD Y SALUD EN EL TRABAJO DE ACUERDO CON LAS POLÍTICAS ORGANIZACIONALES  Y LA NORMATIVIDAD VIGENTE.;NULL;0;NULL;NULL
224312-1-37800;37800;NULL;GENERAR HÁBITOS SALUDABLES DE VIDA MEDIANTE LA APLICACIÓN DE PROGRAMAS DE ACTIVIDAD FÍSICA EN LOS CONTEXTOS PRODUCTIVOS Y SOCIALES.;NULL;0;NULL;NULL
224312-1-37801;37801;NULL;APLICACIÓN DE CONOCIMIENTOS DE LAS CIENCIAS NATURALES DE ACUERDO CON SITUACIONES DEL CONTEXTO PRODUCTIVO Y SOCIAL.;NULL;0;NULL;NULL
