637200-1;637200;1;.ATENCION INTEGRAL A LA PRIMERA INFANCIA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
63730737-1;63730737;1;TENDENCIAS EN DECORACION PARA MANICURA Y PEDICURA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
63730741-1;63730741;1;BIOSEGURIDAD APLICADA A LA ESTETICA Y BELLEZA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
637307-7;637307;7;PELUQUERIA.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
637307-9;637307;9;PELUQUERIA.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
637700-1;637700;1;CUIDADO ESTETICO DE MANOS Y PIES..;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
637804-1;637804;1;COSMETOLOGIA Y ESTETICA INTEGRAL..;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
662121-1;662121;1;COCINA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
664209-1;664209;1;EJECUCION DE EVENTOS DEPORTIVOS Y RECREATIVOS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
664212-1;664212;1;EJECUCION DE PROGRAMAS DEPORTIVOS.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
821100-1;821100;1;PRODUCCION DE COMPONENTES MECANICOS CON MAQUINAS DE CONTROL NUMERICO COMPUTARIZADO;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
832102-1;832102;1;ELECTRICISTA INDUSTRIAL;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
832202-2;832202;2;INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
834258-1;834258;1;SOLDADURA DE PRODUCTOS METALICOS EN PLATINA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
836137-1;836137;1;MANTENIMIENTO Y REPARACION DE EDIFICACIONES.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
838318-1;838318;1;MANTENIMIENTO DE MOTOCICLETAS Y MOTOCARROS.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
841500-1;841500;1;MECANICA INDUSTRIAL.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
842200-3;842200;3;ELABORACION DE PRENDAS DE VESTIR SOBRE MEDIDAS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
84920091-1;84920091;1;LOGISTICA PARA LA COMERCIALIZACION DE PRODUCTOS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
935100-1;935100;1;MANEJO DE MAQUINARIA DE CONFECCION INDUSTRIAL.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
936113-1;936113;1;ELABORACION DE PRODUCTOS ALIMENTICIOS.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
936161-1;936161;1;AGROINDUSTRIA ALIMENTARIA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
96151450-1;96151450;1;ELABORACION DE PRODUCTOS DE GALLETERIA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
961520-1;961520;1;PROCESOS DE PANADERIA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
228185-1;228185;1;SISTEMAS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
228120-102;228120;102;PROGRAMACION DE SOFTWARE;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
832221-2;832221;2;INSTALACIONES    ELECTRICAS     RESIDENCIALES;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
228123-1;228123;1;PROGRAMACION DE APLICACIONES PARA DISPOSITIVOS MOVILES;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
224501-1;224501;1;IMPLEMENTACION Y MANTENIMIENTO DE SISTEMAS DE INTERNET DE LAS COSAS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
